Y,A,L,W,S
0.0,1.0,0,-2.422023303877959,1
1.0,1.0,0,-0.37571248269673513,1
1.0,0.0,0,-0.030659895166848875,1
1.0,0.0,1,-2.017894347043906,1
1.0,1.0,0,-0.37892371361803906,1
1.0,0.0,1,0.605601880300801,1
0.0,1.0,0,-0.9379641435216226,1
0.0,0.0,1,-1.4932737142343941,1
0.0,0.0,0,0.1704319652407828,1
0.0,0.0,0,1.0189344658484014,1
0.0,1.0,0,-1.5859232254089048,1
0.0,0.0,0,-0.6345589925263125,1
1.0,1.0,0,-1.4417666759546375,1
1.0,1.0,0,2.0644396860931633,1
1.0,0.0,1,1.7322106783336728,1
0.0,0.0,0,2.187225606921046,1
0.0,0.0,1,-0.9624924634528955,1
0.0,1.0,0,-2.313187697403325,1
0.0,1.0,0,1.9551768692303562,1
1.0,0.0,0,2.3847421234418307,1
0.0,1.0,0,-1.2397287313683414,1
0.0,0.0,1,-1.0203860307088402,1
1.0,0.0,1,0.7685464635741311,1
1.0,0.0,1,-2.2582589786325773,1
1.0,0.0,0,1.2660495177179412,1
1.0,1.0,0,0.6465324877829116,1
1.0,0.0,0,0.27231620342163904,1
0.0,1.0,0,-0.21737623144101045,1
1.0,1.0,0,-2.0217671287640924,1
0.0,0.0,0,-1.4568021552889434,1
0.0,0.0,0,1.4667325930820903,1
0.0,0.0,0,-2.7640972046728485,1
1.0,1.0,0,0.611495737020196,1
0.0,1.0,0,1.6161819987605825,1
0.0,1.0,0,-0.5862138028797643,1
0.0,1.0,0,-3.2859201375089264,1
0.0,0.0,0,-1.0464317579905742,1
0.0,0.0,0,-1.4799786086414883,1
0.0,1.0,0,-1.6997272887815051,1
0.0,1.0,0,1.572785225323608,1
0.0,0.0,1,-2.7167029002746963,1
0.0,1.0,0,0.2167981903722285,1
0.0,0.0,0,2.055523840681985,1
0.0,0.0,0,1.5642726298793401,1
0.0,0.0,1,1.0845870924613772,1
0.0,1.0,0,-1.955160575271007,1
